Post title,Post link,Created date,Impressions,Views,Click through rate (CTR),Engagement rate,Count
"Virginia's power sector has slashed CO2 emissions intensity by over 50% since 2010, outpacing the national average of 37%. Our ""all-of-the-above"" energy strategy embraces nuclear, clean-burning natural gas, renewables, and other innovative technologies and continues to drive us toward an increasingly clean energy future. Virginia remains committed to sustainable progress while ensuring reliable and affordable power for all.

Learn more at https://lnkd.in/d8FJcwa7
",https://www.linkedin.com/feed/update/urn:li:activity:7342971009626480640,06/23/2025,397,,1.0%,2.5%,1
"Through careful oversight, permitting, and site inspections, Virginia Energy's Gas & Oil team works to safeguard our natural resources and ensure our economy has the fuel it needs to continue thriving safely and responsibly.

Learn more at https://lnkd.in/eZvp5j2X ",https://www.linkedin.com/feed/update/urn:li:activity:7358216141795729408,08/04/2025,242,,0.4%,2.5%,1
"Virginia Energy is seeking a highly skilled Compliance and Technical Specialist to join our Coal Mine Safety team. Play a crucial role in investigating accidents and complaints, helping prevent accidents through training and plan evaluation, and ensuring compliance with state coal mining laws.

Applications due by March 18th 11:55pm.

Apply now: https://ow.ly/fRaQ50VhoQT",https://www.linkedin.com/feed/update/urn:li:activity:7306283383385407489,03/14/2025,206,,1.5%,2.4%,1
Coal miners are the backbone for one of Virginia's most important industries. Their safety is a top priority for Virginia Energy and we are proud to support them in their pursuit of mine safety excellence!  #energywrapped #wrapped2024,https://www.linkedin.com/feed/update/urn:li:activity:7281021695312687104,01/03/2025,167,,1.2%,2.4%,1
"A recent Presidential Memorandum aims to cut red tape for energy and critical mineral projects, making it easier to unlock funding, streamline permitting, and accelerate investment. As Virginia works to strengthen and secure domestic supply chains, this effort will support:

? Expansion of mineral processing and manufacturing
? Increased private-sector investment
? Sustained economic growth in communities across the Commonwealth

https://lnkd.in/e4Am5i6A
",https://www.linkedin.com/feed/update/urn:li:activity:7353408723874156544,07/22/2025,377,,1.3%,2.4%,1
"With early site permitting already secured from the U.S. Nuclear Regulatory Commission, North Anna is one of a handful of U.S. locations with key approvals already in place—helping to shorten deployment timelines. As companies like Amazon, Dominion Energy , Google, and Meta explore SMRs at this site and others across Virginia, the Commonwealth is poised to lead the next generation of clean, reliable energy.

https://shr.link/u4dyi",https://www.linkedin.com/feed/update/urn:li:activity:7352049664508002304,07/18/2025,552,,1.4%,2.4%,1
"Virginia Energy offers a range of in-person and virtual training opportunities for mining industry professionals on everything from diesel to advanced first aid. Learn more about our programs that equip miners with the skills and knowledge needed to continue working safely while keeping our economy moving forward at https://lnkd.in/eC6d-4Hi.

",https://www.linkedin.com/feed/update/urn:li:activity:7334579694878568449,05/31/2025,218,,1.8%,2.3%,1
"Virginia’s world-class energy workforce keeps the lights on, fuels economic growth, and ensures a reliable, secure energy future for every community. Our continued investment in new technologies, infrastructure, and energy innovation means even more well-paying jobs for Virginians in the years ahead.

Learn more about Virginia's energy future at energy.virginia.gov",https://www.linkedin.com/feed/update/urn:li:activity:7329506026917883905,05/17/2025,177,67,1.1%,2.3%,1
"Virginia is one of just 12 recipients nationwide to receive a new U.S. Geological Survey (USGS) grant to reduce landslide risks. The funding will support a detailed landslide inventory in Grayson County—mapping where past landslides have occurred to help communities plan smarter, respond faster, and better prepare for future hazards.

https://lnkd.in/eUTM5uHm",https://www.linkedin.com/feed/update/urn:li:activity:7321213904477446144,04/24/2025,268,,0.4%,2.2%,1
"Our most productive year is coming to a close, but we aren't slowing down! Check out our December newsletter for all the latest updates at https://ow.ly/6Wku50Upkrx and sign up for email alerts to receive exclusive insights on our programs, activities, and successes at https://ow.ly/l96E50Upkry",https://www.linkedin.com/feed/update/urn:li:activity:7272665363685720066,12/11/2024,137,,1.5%,2.2%,1
"Last week, Virginia Energy’s Adam Cumpston led Lebanon Elementary students in a hands-on activity where they mined coal from a mini mountain and then worked to restore it, discovering firsthand the importance of land reclamation. Virginia Energy's interactive lessons bring environmental stewardship to life for the next generation of leaders, scientists, engineers!",https://www.linkedin.com/feed/update/urn:li:activity:7259595637749420032,11/05/2024,284,,0.7%,2.1%,1
"Virginia Energy Director Glenn Davis will discuss the new Virginia Clean Energy Innovation Bank's role in supporting commonwealth's ""All-American, All-of-the-Above"" energy plan at UCAN Power - United Coalition for Advanced Nuclear Power's virtual forum on ""The U.S. Department of Energy (DOE)’s Updated Pathways to Advanced Nuclear Commercial Liftoff Report,"" next Wednesday, October 30, at 3:00pm EDT. Additional details and a link to RSVP are available in the post below. ",https://www.linkedin.com/feed/update/urn:li:activity:7254884345176350723,10/23/2024,286,,0.3%,2.1%,1
"Energize your inbox with updates on policy insights, innovative programs, and new initiatives from Virginia Energy! https://ow.ly/OUjU50UCM2h",https://www.linkedin.com/feed/update/urn:li:activity:7283204685757349890,01/09/2025,147,,1.4%,2.0%,1
"Did you know most of the coal produced in Virginia is not used by the energy industry? Instead, almost 80% of Virginia's coal is what's known as ""metallurgical"" coal and is used to create all sorts of important products, from steel in buildings to carbon fiber in cars and sports equipment.",https://www.linkedin.com/feed/update/urn:li:activity:7257738935483744256,10/31/2024,411,,0.7%,1.9%,1
"Through regular inspections, accident investigations, and comprehensive training, Virginia's Coal Mine Safety Program safeguards the lives of our coal miners and ensures mining operations adhere to strict safety standards.

 Learn more about how Virginia Energy is helping build a stronger, safer mining industry at: https://lnkd.in/eC6d-4Hi",https://www.linkedin.com/feed/update/urn:li:activity:7333462318527209473,05/28/2025,206,,0.5%,1.9%,1
"From Main Street to the assembly line, natural gas provides Virginia consumers and businesses with the reliable and affordable energy needed to fuel our growing economy, accounting for over 50% of our Commonwealth's total electric capacity.

Learn More a https://lnkd.in/dr4UhiWe ",https://www.linkedin.com/feed/update/urn:li:activity:7287902413271789570,01/22/2025,316,,0.6%,1.9%,1
"Virginia Energy supports MSHA’s call for the mining community—miners, operators, and unions—to set aside time to refocus on hazard recognition and reinforce the safety practices that prevent fatalities, serious injuries, and illnesses.

Explore resources and guidance from the U.S. Mine Safety and Health Administration at https://lnkd.in/gqRUGiqi
",https://www.linkedin.com/feed/update/urn:li:activity:7358482010484449280,08/05/2025,158,,0.6%,1.9%,1
"Don’t miss your chance to secure up to $10,000 to assess energy resilience and develop a solar-plus-storage hub for your community! This funding empowers localities to strengthen their energy security and access additional grants for implementation. The deadline applications is Friday, March 14, 2025, at 5 PM—apply now! 
https://ow.ly/Ooe350Vb0cR",https://www.linkedin.com/feed/update/urn:li:activity:7305222341528072194,03/11/2025,162,,0.0%,1.9%,1
" Abandoned Mine Land (AML) division will host a public meeting to discuss an upcoming multi-phased watershed restoration project in the Bold Camp area of Wise County, Virginia. This public meeting provides residents an opportunity to view the plans, ask questions, and provide feedback ahead of the project's finalization.

Meeting details available at: https://lnkd.in/eWH5REv2 
",https://www.linkedin.com/feed/update/urn:li:activity:7345521559383490560,06/30/2025,324,,1.9%,1.9%,1
"Innovation is born out of curiosity, and the U.S. Department of Energy (DOE) has some fantastic new resources designed to inspire the generation of curious minds! The latest entry in their ""Spark Squad"" series includes a new graphic novel and video on the science behind clean nuclear energy. Any #k12 #teachers or parents looking for supplementary science materials should check out the resources at https://lnkd.in/e-4dUWwj

#stemlearning #teacherresources #nuclearenergy #innovation #nuclearscienceweek",https://www.linkedin.com/feed/update/urn:li:activity:7255337495796531201,10/24/2024,216,,1.9%,1.9%,1
